SEL2	411 VAR CTRL			Date: 06/01	/2015   Tim	e: 20:11:56							
BIG	BLUE 161KV												
													
#	DATE	TIME	VA_MAG	VB_MAG	VC_MAG	MV10	SC01	SC02	P	Q	PF	MV32	MV27
1357	5/28/2015	3:10:01	93915.516	93787.422	94043	-2200	0	16	4370.777	-626.646	0.99	0	0
1356	5/28/2015	3:15:02	93977.023	94031.234	93988.797	2800	4	0	5849.158	-643.476	0.994	0	0
1355	5/28/2015	3:20:01	94670.031	95105.664	95187.453	3050	5	0	7220.404	10039.862	0.584	0	0
1354	5/28/2015	3:25:01	94954.844	95290.703	95340.93	-1950	0	15	8557.595	12103.791	0.577	0	0
1353	5/28/2015	3:30:01	95330.281	95154.32	95393.781	-1450	0	13	9381.231	11805.646	0.622	0	0
1352	5/28/2015	3:35:02	95036.695	95490.266	95397.969	-6450	0	33	9898.241	8874.101	0.745	0	0
1351	5/28/2015	3:40:01	94243.359	94210.844	94545.328	-4200	0	24	9927.941	-2266.224	0.975	0	0
1350	5/28/2015	3:45:01	94250.945	94530.414	94710.203	800	0	4	10347.15	-1258.5	0.993	0	0
1349	5/28/2015	3:50:01	95323.562	95373.406	95730.195	1050	0	3	12942.093	8908.625	0.824	0	0
1348	5/28/2015	3:55:01	95082.078	95433.773	95486.023	-3950	0	23	14007.782	6503.927	0.907	0	0
1347	5/28/2015	4:00:02	94487.242	94588.039	94880.336	-4700	0	26	16768.367	-2654.214	0.988	0	0
1346	5/28/2015	4:05:01	94360.898	94566.734	94359.68	-4700	0	26	18473.422	-3465.612	0.983	0	0
1345	5/28/2015	4:10:01	93980.82	94378.039	94426.547	50	0	7	17987	-3107.106	0.985	0	0
1344	5/28/2015	4:15:02	94415.305	94329.406	94393.641	5050	13	0	17383.609	-2110.95	0.993	1	0
1343	5/28/2015	4:20:02	93694.039	93699.977	93490.531	8800	28	0	15894.89	-682.086	0.999	1	0
1342	5/28/2015	4:25:01	94978.109	94701.297	94939.07	9050	29	0	15320.258	11294.129	0.805	0	0
1341	5/28/2015	4:30:01	95152.57	95341.906	95087.5	4050	9	0	16071.435	11390.117	0.816	0	0
1340	5/28/2015	4:35:01	95047.68	95473.75	95368.891	-950	0	11	15798.267	11342.207	0.812	0	0
1339	5/28/2015	4:40:02	95308.328	95199.969	94993.844	-5950	0	31	15982.684	8411.33	0.885	0	0
